epoch 10 summary: valid_rse=2.6739, us_rse=0.7458, jp_fx_rse=2.0116, kr_fx_rse=0.6917
epoch 20 summary: valid_rse=0.6852, us_rse=0.9359, jp_fx_rse=1.5086, kr_fx_rse=1.2062
epoch 30 summary: valid_rse=0.6626, us_rse=0.6549, jp_fx_rse=0.8569, kr_fx_rse=0.6246
epoch 40 summary: valid_rse=1.0480, us_rse=0.3871, jp_fx_rse=0.7593, kr_fx_rse=0.7151
epoch 50 summary: valid_rse=0.2167, us_rse=0.4037, jp_fx_rse=0.8529, kr_fx_rse=0.5486
epoch 60 summary: valid_rse=0.5822, us_rse=0.5145, jp_fx_rse=0.6369, kr_fx_rse=0.5042
epoch 70 summary: valid_rse=0.9704, us_rse=0.4634, jp_fx_rse=0.9665, kr_fx_rse=0.6416
epoch 80 summary: valid_rse=0.7183, us_rse=0.2486, jp_fx_rse=1.1197, kr_fx_rse=0.3941
epoch 90 summary: valid_rse=0.5972, us_rse=0.3835, jp_fx_rse=0.6242, kr_fx_rse=0.5301
epoch 100 summary: valid_rse=0.3364, us_rse=0.4304, jp_fx_rse=0.6122, kr_fx_rse=0.5545
epoch 110 summary: valid_rse=0.4904, us_rse=0.3586, jp_fx_rse=0.6487, kr_fx_rse=0.4585
epoch 120 summary: valid_rse=0.2525, us_rse=0.2949, jp_fx_rse=0.5186, kr_fx_rse=0.3741
epoch 130 summary: valid_rse=0.3414, us_rse=0.4389, jp_fx_rse=0.5689, kr_fx_rse=0.5640
epoch 140 summary: valid_rse=0.6083, us_rse=0.2590, jp_fx_rse=0.5722, kr_fx_rse=0.3688
epoch 150 summary: valid_rse=0.2636, us_rse=0.2786, jp_fx_rse=0.4519, kr_fx_rse=0.3511
epoch 160 summary: valid_rse=0.3871, us_rse=0.2928, jp_fx_rse=0.4732, kr_fx_rse=0.3763
epoch 170 summary: valid_rse=0.5397, us_rse=0.2984, jp_fx_rse=0.5369, kr_fx_rse=0.3803
epoch 180 summary: valid_rse=0.4423, us_rse=0.3505, jp_fx_rse=0.5401, kr_fx_rse=0.4516
epoch 190 summary: valid_rse=0.4798, us_rse=0.2966, jp_fx_rse=0.5078, kr_fx_rse=0.3726
epoch 200 summary: valid_rse=0.5405, us_rse=0.2700, jp_fx_rse=0.5369, kr_fx_rse=0.3234
epoch 210 summary: valid_rse=0.4103, us_rse=0.2509, jp_fx_rse=0.4837, kr_fx_rse=0.3583
epoch 220 summary: valid_rse=0.4934, us_rse=0.2658, jp_fx_rse=0.4609, kr_fx_rse=0.3797
epoch 230 summary: valid_rse=0.4463, us_rse=0.2995, jp_fx_rse=0.5189, kr_fx_rse=0.4021
epoch 240 summary: valid_rse=0.5092, us_rse=0.2631, jp_fx_rse=0.4901, kr_fx_rse=0.3923
epoch 250 summary: valid_rse=0.5190, us_rse=0.2759, jp_fx_rse=0.4871, kr_fx_rse=0.3593
epoch 260 summary: valid_rse=0.4783, us_rse=0.2716, jp_fx_rse=0.4680, kr_fx_rse=0.3804
epoch 270 summary: valid_rse=0.4716, us_rse=0.2854, jp_fx_rse=0.5080, kr_fx_rse=0.4065
epoch 280 summary: valid_rse=0.4679, us_rse=0.2893, jp_fx_rse=0.5123, kr_fx_rse=0.3731
epoch 290 summary: valid_rse=0.4785, us_rse=0.2725, jp_fx_rse=0.4991, kr_fx_rse=0.3462
epoch 300 summary: valid_rse=0.4942, us_rse=0.2646, jp_fx_rse=0.5068, kr_fx_rse=0.3487
